airline_sentiment,clean_tweet
neutral,said
positive,plus added commercials experience tacky
neutral,today must mean need take another trip
negative,really aggressive blast obnoxious entertainment guests faces amp little recourse
negative,really big bad thing
negative,seriously would pay flight seats playing really bad thing flying va
positive,yes nearly every time fly vx ear worm go away
neutral,really missed prime opportunity men without hats parody
positive,well
positive,amazing arrived hour early good
neutral,know suicide second leading cause death among teens
positive,lt pretty graphics much better minimal iconography
positive,great deal already thinking nd trip amp even gone st trip yet p
positive,flying fabulous seductive skies u take stress away travel
positive,thanks
negative,sfo pdx schedule still mia
positive,excited first cross country flight lax mco heard nothing great things virgin america daystogo
negative,flew nyc sfo last week fully sit seat due two large gentleman either side help
positive,flying
positive,know would amazingly awesome bos fll please want fly
negative,first fares may three times carriers seats available select
positive,love graphic
positive,love hipster innovation feel good brand
neutral,making bos gt las non stop permanently anytime soon
negative,guys messed seating reserved seating friends guys gave seat away want free internet
negative,status match program applied three weeks called emailed response
negative,happened ur vegan food options least say ur site know able eat anything next hrs fail
neutral,miss worry together soon
negative,amazing get cold air vents vx noair worstflightever roasted sfotobos
neutral,lax ewr middle seat red eye noob maneuver sendambien andchexmix
negative,hi bked cool birthday trip add elevate cause entered middle name flight booking problems
neutral,hours operation club sfo posted online current
negative,help left expensive headphones flight iad lax today seat one answering l amp f number lax
negative,awaiting return phone call would prefer use online self service option
positive,great news america could start flights hawaii end year via
neutral,nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience
positive,moodlighting way fly best experience ever cool calming moodlitmonday
positive,done done best airline around hands
neutral,book flight hawaii
negative,chat support working site
positive,view downtown los angeles hollywood sign beyond rain mountains
negative,hey first time flyer next week excited hard time getting flights added elevate account help
neutral,plz help win bid upgrade flight lax gt sea
neutral,unused ticket moved new city fly fly expires travelhelp
neutral,flights leaving dallas seattle time feb
positive,elevategold good reason rock
neutral,dream
positive,wow blew mind
neutral,last night tribute soundofmusic oscars think agree
neutral,entertaining
neutral,flight way supposed take minutes ago website still shows time flight thanks
positive,julie andrews way though impressive
neutral,wish flew atlanta soon
neutral,julie andrews hands
neutral,flights leaving dallas la february th
negative,hi excited lga gt dal deal trying book since last week amp page never loads thx
positive,know need spotify stat guiltypleasures
positive,lady gaga amazing
neutral,carrie
neutral,new marketing song let us know think
neutral,julie andrews first lady gaga wow last night carrie meh
negative,called weeks ago adding flights elevate still shown help
neutral,great go carrieunderwood
neutral,sorry mary martin first
positive,love three really beat classics
neutral,flight dal dca pm tried check could status please
negative,heyyyy guyyyys trying get hour someone call please
negative,hi virgin hold minutes earlier flights la nyc tonight earlier pm
positive,congrats winning award best deals airline us
negative,everything fine lost bag
neutral,need change reservation virgin credit card need modify phone waive change fee online
neutral,emailed customer service team let know need tracking number
neutral,hi booked flight need add baggage
negative,airline awesome lax loft needs step game dirty tables floors
positive,worried great ride new plane great crew airlines like
positive,awesome flew yall sat morning way correct bill
neutral,watch best student films country feet cmfat feet
neutral,first time flying different rate policy media bags thanks
negative,going customer service anyway speak human asap thank
neutral,happened doom
negative,supp biz traveler like customer service like neverflyvirginforbusiness
positive,applied member inflight crew team im interested flightattendant dreampath g
negative,best whenever begrudgingly use airline delayed late flight
negative,interesting flying cancelled flight next four flights planned neverflyvirginforbusiness
negative,disappointing experience shared every business traveler meet neverflyvirgin
negative,trouble adding flight wife booked elevate account help
neutral,bring reservation online using flight booking problems code
neutral,random q distribution elevate avatars bet kitty disproportionate share
neutral,lt flying va life happens trying change trip jperhi help va home page let
negative,site back
neutral,rnp yeah know
neutral,hi get points elevate account recent flight add flight points account
negative,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday
negative,landed lax hour late flight bag check business travel friendly nomorevirgin
neutral,flight redirected
negative,website btw new website great user experience time another redesign
negative,check add bag website working tried desktop mobile
negative,let scanned passengers leave plane told someone remove bag st class bin uncomfortable
negative,phone number find call flight reservation
negative,anyone anything today website useless one answering phone
neutral,trying add boy prince ressie sf thursday lax
negative,must traveler miss flight late flight check bag missed morning appointments lost business sfo lax
neutral,check new music
negative,direct flight fll gt sfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky
negative,late flight bag check lost business missed flight apt three people flight exp
positive,amazing customer service raeann sf best customerservice virginamerica flying
negative,called service line hung awesome sarcasm
negative,site tripping trying check getting plain text version reluctant enter card info
neutral,scheduled sfo dal flight today changed th due weather looks like flight still
positive,getaway deals may one way lots cool cities cheapflights farecompare
neutral,getaway deals may one way lots cool cities cheapflights farecompare
positive,getaway deals may one way lots cool cities cheapflights farecompare
neutral,getaway deals may one way lots cool cities cheapflights farecompare
positive,great week
positive,come back phl already need take us horrible cold pleasecomeback
negative,concerned fly plane needs delayed due tech stop
positive,best airline flown easy change reservation helpful representatives amp comfortable flying experience
positive,another rep kicked butt naelah represents team beautifully thank
positive,beautiful front end design right cool still book ticket b c back end secure
positive,love team running gate e las tonight waited delayed flight kept things entertaining
negative,use another browser amp brand reputation built tech response cross browser compatible website
negative,flight flight booking problems site totally folks problem
negative,like customer service min delay connecting passengers seems long va
positive,thanks outstanding nyc jfk crew moved mountains get home san francisco tonight
positive,absolute best team customer service ever every time fly delighted thank
neutral,provide complimentary upgrades first class available seats
negative,need change flight thats scheduled hours min wait time phone im calling intern help
positive,completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue
neutral,watch oscars jfk gt sfo flight
neutral,flight cancelled flightled
negative,failing customers check process link tsa pre check
negative,us terrible airline gave us hotel hotline number said sorry
neutral,flight number sfo cabo san lucas arrived yet
negative,assistance yesterday u cancelled flightled flight give us hotel hotline shame
negative,another delayed flight likingyoulessandless
negative,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
positive,rock making watch oscars flight redcarpet oscars oscars
neutral,dropped track
positive,always xoxo
negative,book seats flights buy even check creates much anxiety frustrated
negative,think paying extra bucks rt luggage might afford hiring extra hand lame
positive,best customer service rep world irmafromdallas takes cake
neutral,find us flt lax sooner midnight monday would great customer service
negative,please provide status flight cant imagine time web indicates dude weather dallas
positive,amazing staff amp super helpful ran princesshalf spoiled comfort
negative,paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
negative,question possible book seat infant giving option want seat
positive,always together welcome rt welcome
positive,flight home dc sunset globe backtowinter back work refreshed
negative,understand need dm give answer damaged luggage policy
negative,mean policy destroyed luggage
neutral,special assistance travel alone w kids infant priority boarding
positive,thank checking tickets purchased customer happy
neutral,website ever coming back online
neutral,flight love field sfo definitely cancelled flightled monday february
neutral,flight lga dfw time
neutral,drivers license expired little month fly friday morning using expired license
negative,problems flight booking problems web site keeps giving error contact phone phone minute wait
negative,reschedule cancelled flightled flights online change button greyed
negative,rang wait minutes book ticket vendor fix site
negative,got flight told today checked email tomorrow unacceptable
negative,flight lga cancelled flighted stuck dallas called reschedule told could get flight today
negative,pairings include red wine white offered redwineisbetter
negative,website
negative,site seems little wonked right may want look tried two browsers css
negative,disappointed agent designated silver status check line closed assist pasengers
neutral,plans include austin dallas route topnews arab emirates
negative,normal receive reply central baggage baggageissues smh
negative,logan airport waiting checkin flight checkin desk open
neutral,jump dallas austin market
neutral,beats eps views takes southwestair va luv investor business daily
neutral,lister show monday
neutral,begin dallas austin flights april ketr
negative,congrats got business ewr sfo lax fuck fl sfo ewr clincher
negative,applied weeks ago heard back flying week disappointed
neutral,love know policy damaged luggage
positive,thank follow
negative,many apologies r worse airlines even respond cudtomers
negative,shame va making people spend money stranded cities airlines landing jfk reimburse
neutral,dm
neutral,please flights sjc choice fly southwest vegas
negative,bad say takes days via confirmation email inquired weeks claim weeks
negative,flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline
positive,rt met match got status another airline upgrade restr
positive,way fly elevate gold
neutral,guys flights cmh
negative,lot apologies thrown customers see sad thanks nothing worst airline ever
negative,flight stuff wrong nothing worst flight ever
neutral,issue finding missing item plane help find airport plane headed next
positive,match americanairlines status cool
neutral,met match got status another airline upgrade
negative,trying book flight guys website let lose business
negative,suck
positive,thanks
negative,dm issue persisting
negative,never rec cancelled flightlation notice left w options fly ps driving la red eye mon w kids
negative,trying book flight amp site
negative,flights flying boston tomorrow need home cancelled flightled flight anything
negative,stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
positive,love guy song dancing high school dance revue
negative,website trying check
positive,done thank quick response apparently faster sitting hold
neutral,nervous flight dc lax getting cancelled flightled tomorrow sent dm help
positive,cool picture another virginamerica plane wing site
positive,keep great work
positive,goodness people field amazing pressure texas beatstheothers crisis please fly ny
positive,thanks great flight la boston pilots great job landing snow go back la seriously
neutral,please get new york area monday afternoon
positive,thanks much awesome support guys rock
negative,seats row recline mention website soreback
negative,flight delayed hours la due mechanical problems handle like pros could tossed us free drink
negative,cancelled flight flights today precipitation scared
positive,twitter team guys killed rescheduling asap thank
negative,guys charged reschedule flight cancelled flighted refusing refund deal
negative,access website safari iphone seems work mac ipad need iphone add passbook
neutral,ipad iphone clicking checkin link email received hrs flight
negative,mobile site broken shows header elevateuser numofpointsavailable number points let checkin
negative,really looking forward flight let know rescheduled diehardvirgin
negative,cancelled flight flight vx one sec delayed airport next cancelled flightled gonna email call reschedule
negative,problem link email check thanks
negative,change another airline get dc today able land dc cost ugh
negative,looking forward first flight today cancelled flightled along subsequent one
positive,putting great deals pdx las las pdx show love
positive,wish afford fly next friday going back home love everything airline
negative,gonna deal dallas dc deal dc dallas sad
neutral,bug report guys
negative,hold times call center bit much
positive,like
negative,site help
positive,best flight attendant ever
positive,awesome rt watch nominated films feet meetthefleet oscars
positive,thanks much
negative,trying reset password email never arrives help
positive,airline based silicon valley disruption fcmostinnovative incubator
positive,nicely done
positive,looking forward watching oscars flight home tomorrow might even get something bubbly drink
negative,reason delay departure vx jfk afternoon
negative,todays flight palm springs ca jfk ny cancelled flightled
positive,hahaha guys amazing love guys
positive,sounds like fun
neutral,updates flight jfk gt lax
neutral,spruce moose
negative,css site right please fix site unusable
negative,flight vegas boston today checked online bag count register fix somehow
positive,classiq luv virgin america greetingz
negative,hi trying check website working tried different browsers problem continues
positive,thanks great customer service today amp helping get travel sorted
positive,thanks guys sweet route rockies airplanemodewason
positive,love music blasting gate boston waiting flight sanfrancisco could get iced coffee
negative,passenger flt assaulted flown trust banned crew filed report
negative,current bug website shows select departure city selecting destination city
negative,luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help
positive,thank easy itinerary shift impending weather quick painless amp free
neutral,love see girls inspired become pilots rt free woaw event march abq
positive,thanks good times back vodkatonics entire flight sfo
neutral,beats expectations shares take santa cruz sentinel
neutral,plans start flying direct dal las
neutral,big love gratitude mpower w werin oscars vipswagbags avalonhollywood
positive,great job adding little luxuries aesthetics improve air travel experience thank keep
negative,requested window seat confirmed window got stuck middle seat good way treat silver member
neutral,grand budapest hotel oscarscountdown
neutral,missed next trip
negative,wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience
negative,something wrong website safari iphone
positive,thanks gate checking baggage full flight dfw lax giving early boarding sweet
negative,already checked page expired x
negative,boo refunding seat upgrade fee want buy first place
neutral,shares rise q financial results usa today
neutral,adds pillows instead lie flat seats first class arms race
positive,see
neutral,way take advantage mayweatherpacquiao
neutral,know flying virgin fight mayweatherpacquiao
positive,inflight team makes experience amazing
positive,cutest salt pepper shaker ever think guys get better
negative,moved seat notice better seat cabin select behind row selected disappointed
neutral,shares q results
positive,fav airline
positive,hot female pilot sweet dca sfo
neutral,guys going start flying paris welcome
neutral,policy flying surgery still waiting answer tell doctor
negative,already contacted central baggage amp sent dm charging dress lost suitcase help
positive,thank
negative,anything going website getting lot errors past minutes
neutral,think left something plane yesterday call ah
neutral,need follow back order dm
neutral,need start flying
neutral,told check airline regulation first contacted
negative,checked flight sfo lax amp told atlantic flying club gold get benefits
negative,husband ordered three drinks via screen never came awesome
negative,soooo guys going leave seatbelt light flight barely call turbulence
neutral,policy flying surgery
neutral,posts second consecutive full year net profit
negative,funny story website broken missing javascript stylesheets checkin process dislike
positive,would love virgin like
neutral,results handily exceed forecasts
neutral,applied position wondering guys received application
neutral,achieves second year profitability despite revenue pressure
neutral,gives positive outlook sees increased competition
negative,trying check ct flight tmm desktop website working sort caching bug sos
neutral,weather delays gt next weeks jfk bos dca
neutral,check website go airport
negative,guys know check links emails broken
neutral,pilot says expect choppy landing nyc due gusty winds w temperature degrees amp w windchill
positive,loved wait monday return flight mostly watch inflight safety video sorrynotsorry
negative,lost luggage days ago flight vx lax iad amp calling every day response please give back stuff
negative,flight booking problems section website seems broken chrome might wanna look
positive,hi wanted see new routes planned year newark love flying guys hope
positive,mean probably inappropriate board
positive,happy spend day together let
neutral,saving sanity right
neutral,missed flight standby work
positive,understanding helped thx comps
neutral,brought way across country today see
positive,thank absolutely
negative,looks like broken link assets
neutral,ready let say together noooo turbulence today
negative,manage itinerary section website seems broken
negative,check site looks like every time loads
neutral,u help needs urgent treatment old battling cancer could u help flights freyasfund
neutral,may start service hawaii sanfrancisco year biztravel
negative,carriers less half price round trip fare stunned
negative,wtf happening pdx late flight march one way sfo
neutral,add dtw sold
positive,free drinks flight back free promo
positive,thanks
neutral,momma made
neutral,please contact portfolio left flight vx jfk sfo tonite seat need returned call
neutral,help flight jkf tonight seat c left portfolio need back
neutral,seattle bound wifey got duffle vday keeper holla
negative,luggage gone filed paperwork promised call email still resolution response central luggage
neutral,debbie baldwin gave rockstar performance safety demo evening vx las sfo bestcrew sherocks
positive,thanks
positive,thanks taking care flight rockstars travel
positive,thanks lovely soft views travel san sfo
negative,requested mileage challenge status several weeks ago online heard back get help
negative,trying book tickets nyc facing super fun broken styling worry keep trying
neutral,many thanks follow ourprincess freyasfund usa bandie looking help
neutral,nice lofty view silverstatus
negative,applied status match feb got confirmation email day still news though guys dropped ball late flightly
neutral,new go airline
neutral,help ourprincess need help usa
positive,adore looking forward flight austin two weeks
positive,glad mentioned took first virgin flight years back transformative experience
neutral,flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica
negative,trying check looks like site
negative,spending birthday night dal dca get home
negative,sent couple messages email provided avail try next year cheers
positive,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
negative,seriously though direct flights sfo fll may
negative,fine already done purchase try go way go back
negative,really experience hoping ws forced check small carry w nothing empty cabin space board
negative,wjere luggage slow lax
neutral,jump dallas austin market
negative,spoke representative offered solution loyal customer flies well
negative,deeply disappointed birthday promo applied trip booked mere days received email
negative,happened direct flights sfo fll looking may see connecting help dontdothistome
neutral,help left blazer kooples jacket bag rd row second seat right gate lax flight sfo
neutral,partners checkout mobile payment method help boost mobile conversion rates etailwest payments visa
positive,promoting product problem southwest recommend noneother best
positive,love guys pls get direct routes las aus
neutral,would like help flights please
neutral,bruh turn vxsafetydance
positive,course work obsessed entire virgin family
positive,ok first time flying tonight
neutral,digging swanky pink mood lighting flight nyc sfo needs cabaret singer think
neutral,done need receipt asap could please help
negative,embossed badges patches superior ones currently using
negative,vx jfk la dirty plane standards
negative,flight vx headed la jfk dirtiest va plane ever sad great airline
positive,got squared away someone picked soon tweeted tweeted sooner
negative,avis rental continue button work website book car tried times phone sucks
negative,delayed
negative,currently minute hold cust service need anything add lap child reservation
neutral,adds pillows instead lie flat seats first class arms race
positive,course fun celebrating thanks happy chinese new year
positive,flight booking problems last second flight next week sfo san chance want gift promo code since love guys
negative,comenity bank joke please change nothing constant problems bank
